state,admin1_pcode,district,township,admin3_pcode,population_2021_proj,fs_pin,fs_targeted,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,conflict_score,fatalities,area_sown_acres,population_density,flood_prob,flood_count,beneficiaries_2021,partners_2021,ben_6_months,not_in_6months,conflict_ranking,flood_ranking,fs_pin_ranking,fs_target_ranking,fs_pin_pc,pin_pop,group
Shan (South),MMR222,Langkho,Mongpan,MMR014021,28805.03245814827,10600,50,2,1,0,0,0,0.00506711329490597,4,10377,9.593223632566815,0,NA,8,1,25,0,264,10,291,255,8.016656996612462e-4,0.36799125345201644,B2
Shan (South),MMR222,Loilen,Loilen,MMR014011,138388.81539341103,50927,50,0,1,2,2,0,0.01245974150973155,0,20495,94.13509231163087,0,NA,116,1,120,0,211,10,92,255,0.0038515499138347437,0.36799939254646397,B2
Shan (South),MMR222,Loilen,Laihka,MMR014012,54253.588674066115,19965,50,NA,NA,NA,NA,NA,0,NA,42540,17.460796100391317,0,NA,4,1,17,0,298,10,240,255,0.001509929782427998,0.3679940901226229,B2
Shan (South),MMR222,Loilen,Nansang,MMR014013,129949.29419646223,47821,1000,4,0,0,3,0,0.0068278065731118,3,63401,31.867204423661082,0,NA,839,2,29,0,255,10,101,236,0.0036166467380660803,0.3679973815610142,B2
Shan (South),MMR222,Loilen,Kunhing,MMR014014,59333.30048455188,21835,50,0,0,0,1,1,0.00300966261751152,0,27609,19.452081840493666,0,NA,0,0,NA,1,280,10,230,255,0.0016513557124625763,0.3680058217170137,B2
Shan (South),MMR222,Loilen,Kyethi,MMR014015,82621.9792377435,31215,5000,23,1,0,5,0,0.027385385350777,1,55508,19.881008877879545,0,NA,0,0,NA,1,162,10,171,125,0.0023607542278231883,0.3778050379328158,B2
Shan (South),MMR222,Loilen,Mongkaing,MMR014016,82544.20587231612,32294,50,10,4,0,12,5,0.04675499114049195,4,23048,19.659844762891293,0,NA,0,0,NA,1,127,10,165,255,0.002442357745741536,0.39123279046325943,B2
Shan (South),MMR222,Loilen,Monghsu,MMR014017,80830.96973675858,29746,50,0,0,0,1,3,0.00539769933685705,0,66533,44.37901513901442,0.06666666666666667,1,0,0,NA,1,262,9,188,255,0.0022496554624644744,0.36800251310696264,B2
Shan (South),MMR222,Pa-O Self-Administered Zone,Hopong,MMR014003,124824.02941479757,45935,50,0,0,0,4,0,0.00299267152319606,0,45620,38.44948373660422,0,NA,870,1,NA,1,281,10,110,255,0.0034740107465980508,0.367998054664261,B2
Shan (South),MMR222,Pa-O Self-Administered Zone,Hsihseng,MMR014004,170025.90940119364,63075,50,0,1,0,5,0,0.02341843935105044,0,70229,73.98135846885398,0.06666666666666667,1,1194,2,16,0,171,9,59,255,0.004770289057182368,0.37097287244127036,B2
Shan (South),MMR222,Pa-O Self-Administered Zone,Pinlaung,MMR014009,213606.77024246746,78645,50,3,1,0,3,0,0.04072586911473959,34,48876,56.59672251540324,0.06666666666666667,1,2364,1,NA,1,135,9,33,255,0.005947830089609312,0.3681765325636878,B2
Shan (South),MMR222,Taunggyi,Taunggyi,MMR014001,486701.276652264,179129,200,0,18,17,48,14,0.16605585168794637,15,122920,218.26467229458154,0.13333333333333333,2,1053,2,430,0,31,8,2,251,0.013547318407039561,0.36804711348226693,A2
